,personId,personName
0,686,Antonio McDyess
1,1495,Tim Duncan
2,1536,Stephen Jackson
3,1938,Manu Ginobili
4,2210,Richard Jefferson
5,2225,Tony Parker
6,2551,T.J. Ford
7,2564,Boris Diaw
8,2588,Matt Bonner
9,200769,Shannon Brown
10,200779,Steve Novak
11,200809,Chris Quinn
12,201158,Marco Belinelli
13,201168,Tiago Splitter
14,201588,George Hill
15,201948,Austin Daye
16,201965,Jeff Ayres
17,201971,DeJuan Blair
18,201980,Danny Green
19,201986,Nando De Colo
20,201988,Patty Mills
21,202087,Alonzo Gee
22,202341,James Anderson
23,202390,Gary Neal
24,202695,Kawhi Leonard
25,202709,Cory Joseph
26,203382,Aron Baynes
27,1889,Andre Miller
28,2137,Ime Udoka
29,2200,Pau Gasol
30,2250,Bobby Simmons
31,2446,Rasual Butler
32,2561,David West
33,2755,Kevin Martin
34,101113,Ike Diogu
35,101135,David Lee
36,200746,LaMarcus Aldridge
37,200752,Rudy Gay
38,201152,Thaddeus Young
39,201182,Derrick Byars
40,201202,Joel Anthony
41,201286,Eric Dawson
42,201785,Othyus Jeffers
43,201942,DeMar DeRozan
44,201960,DeMarre Carroll
45,201967,Dante Cunningham
46,202066,Garrett Temple
47,202082,Larry Owens
48,202130,Reggie Williams
49,202345,Damion James
50,202347,Quincy Pondexter
51,202458,Justin Dentmon
52,202700,Donatas Motiejunas
53,202722,Davis Bertans
54,202952,Malcolm Thomas
55,203092,Tyler Zeller
56,203107,Tomas Satoransky
57,203210,JaMychal Green
58,203464,Brandon Paul
59,203473,Dewayne Dedmon
60,203476,Gorgui Dieng
61,203492,Ray McCallum
62,203530,Joffrey Lauvergne
63,203613,Jonathon Simmons
64,203926,Doug McDermott
65,203937,Kyle Anderson
66,204020,Tyler Johnson
67,1626168,Trey Lyles
68,1626169,Stanley Johnson
69,1626196,Josh Richardson
70,1626199,Darrun Hilliard
71,1626224,Cedi Osman
72,1626246,Boban Marjanovic
73,1627749,Dejounte Murray
74,1627751,Jakob Poeltl
75,1627823,Juancho Hernangomez
76,1627854,Bryn Forbes
77,1627856,Matt Costello
78,1627879,Nicolas Laprovittola
79,1628380,Zach Collins
80,1628401,Derrick White
81,1628537,Jaylen Morris
82,1628966,Keita Bates-Diop
83,1628984,Devonte' Graham
84,1628993,Alize Johnson
85,1629002,Chimezie Metu
86,1629022,Lonnie Walker IV
87,1629111,Jock Landale
88,1629234,Drew Eubanks
89,1629244,Cam Reynolds
90,1629603,Mamadi Diakite
91,1629640,Keldon Johnson
92,1629641,Romeo Langford
93,1629646,Charles Bassey
94,1629676,Isaiah Roby
95,1629677,Luka Samanic
96,1629683,Quinndary Weatherspoon
97,1629719,Devontae Cacok
98,1630170,Devin Vassell
99,1630200,Tre Jones
100,1630218,Robert Woodard II
101,1630237,Anthony Lamb
102,1630561,David Duke Jr.
103,1630563,Joshua Primo
104,1630564,RaiQuan Gray
105,1630572,Sandro Mamukelashvili
106,1630577,Julian Champagnie
107,1630580,Joe Wieskamp
108,1630597,D.J. Stewart
109,1631103,Malaki Branham
110,1631104,Blake Wesley
111,1631110,Jeremy Sochan
112,1631123,Jamaree Bouyea
113,1631160,Jordan Hall
114,1631230,Dominick Barlow
115,1631321,Sidy Cissoko
116,1641705,Victor Wembanyama
117,1641777,Charles Bediako
118,1641811,Sir'Jabari Rice
